,0
0,0.10083633814102565
1,0.11373197115384616
2,0.11505909455128205
3,0.11618589743589744
4,0.11801382211538461
5,0.11961638621794872
6,0.11939102564102565
7,0.12737880608974358
8,0.12399839743589744
9,0.12945713141025642
10,0.13063401442307693
11,0.12800480769230768
12,0.12650240384615385
13,0.12915665064102563
14,0.1264523237179487
15,0.12707832532051283
16,0.12720352564102563
17,0.1296824919871795
18,0.13068409455128205
19,0.1293820112179487
20,0.13206129807692307
21,0.12833032852564102
22,0.13186097756410256
23,0.12970753205128205
24,0.13248697916666666
25,0.13173577724358973
26,0.13000801282051283
27,0.1316856971153846
28,0.13186097756410256
29,0.12975761217948717
