,0
0,0.12429887820512821
1,0.12099358974358974
2,0.09965945512820513
3,0.13541666666666666
4,0.11939102564102565
5,0.12329727564102565
6,0.12860576923076922
7,0.12980769230769232
8,0.12780448717948717
9,0.11889022435897435
10,0.14713541666666666
11,0.1284054487179487
12,0.13471554487179488
13,0.12279647435897435
14,0.13561698717948717
15,0.12890625
16,0.14052483974358973
17,0.12149439102564102
18,0.13561698717948717
19,0.13972355769230768
20,0.1385216346153846
21,0.12299679487179487
22,0.1287059294871795
23,0.1362179487179487
24,0.11648637820512821
25,0.1388221153846154
26,0.12149439102564102
27,0.13321314102564102
28,0.14102564102564102
29,0.13862179487179488
